KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
igmPoison,"[c][b][B52BFF]POISON[-][/b][/c]\nYou've been poisoned by something that's entered your bloodstream\n[c][FFFFFF]Treat with Antitoxic Pills, Adrenaline Shot or a Detox Kit.[-][/c]\n[c][AAFF00]Adrenaline shots take time to remove the poison from your system. The timer bar will be GREEN if treated.[-][/c]",,,,,,,,"[c][b][B52BFF]ЯД[-][/b][/c]\nВы были отравлены чем-то, что попало в ваш кровоток\n[c][FFFFFF]Лечите антитоксическими таблетками, инъекциями адреналина или набором для детоксикации.[-][/c]\n[c][AAFF00]Уколы адреналина требуют времени, чтобы удалить яд из вашего организма. Полоса таймера будет ЗЕЛЕНОЙ после лечения.[-][/c]",,,,,,,,
igmEffectRadiationPoisoning,[c][00FFAA][b]RADIATION POISONING[/b][-][/c]\nYou have extensive organ and tissue damage caused by a dangerous level of radiation within your body.\n[c][FFFFFF]Antiradiation Pills or a Decontamination Kit are required to treat the damage.[-][/c]\n[c][00FFAA]Unless the Radiation in the body is purged by either a Decontamination Kit or a Shower the condition may return.[-][/c],"[c][ffffff]STRAHLENVERSEUCHUNG[-][/c]\n[c][ff8800]Abschwächen:[-][/c] Duschen (reduziert RAD)\n[c][44ff00]Heilen mit:[-][/c] Anti-Strahlen-Pillen, Anti-Strahlen-Injektion, Dekontaminations-Kit, Medizinische Station Typ 4","[c][ffffff]EMPOISONNEMENT PAR RADIATION[-][/c]\n[c][ff8800]Atténuer :[-][/c] Prendre une douche (réduit le RAD)\n[c][44ff00]Se soigner avec :[-][/c] Pilules anti-radiation, Injection anti-radiation, Kit de décontamination, Station médicale de type 4","[c][ffffff]AVVELENAMENTO DA RADIAZIONI[-][/c]\n[c][ff8800]Attenuazione:[-][/c]  Doccia (riduce RAD)\n[c][44ff00]Cura:[-][/c]  Pillole Anti-Radiazioni, Iniezione Anti-Radiazioni, Kit Decontaminazione, Stazione Medica Classe 4","[c][ffffff]ENVENENAMIENTO POR RADIACIÓN[-][/c]\N-[c][ff8800]Mitigar:[-][/c] Ducharse (reduce la RAD)\N-[c][44ff00]Curarse con:[-][/c] Píldoras antirradiación, Inyección antirradiación, Kit de descontaminación, Estación médica tipo 4",,,,"[c][00FFAA][b]РАДИАЦИОННОЕ ОТРАВЛЕНИЕ[/b][-][/c]\nУ вас обширное повреждение органов и тканей, вызванное опасным уровнем радиации внутри вашего тела.\n[c][FFFFFF]Для лечения повреждений потребуются противорадиационные таблетки или комплект для дезактивации.[-][/c]\n[c][00FFAA]Если радиация в организме не будет удалена с помощью комплекта для дезактивации или душа, состояние может вернуться.[-][/c]","[c][00ffff]放射線毒性[-][/c]\n[-][/c]   シャワーを浴びる（放射性物質を減らす）\n[c][44ff00]治療: [-][/c]   抗放射線錠剤, 抗放射線注射剤, 除染キット, メディカルステーション4型",,"[c][ffffff]輻射中毒[-][/c]\n[c][ff8800]緩解:[-][/c]  洗個澡(降低輻射)\n[c][44ff00]以此治療:[-][/c]  抗輻射藥片, 抗輻射針, 應急(消毒)醫療包, 醫療站4型",,,"[c][ffffff]ΔΗΛΗΤΗΡΙΑΣΗ ΑΠΟ ΑΚΤΙΝΟΒΟΛΙΑ[-][/c]\n[c][ff8800]Μετριασμός:[-][/c] Κάντε ντους (μειώνει το RAD)\n[c][44ff00]Θεράστε με: [-][/c] Χάπια κατά της ακτινοβολίας, ένεση κατά της ακτινοβολίας, κιτ απολύμανσης, ιατρικός σταθμός Τύπος 4",,"[c][ffffff]NHIỄM ĐỘC BỨC XẠ[-][/c]\n[c][ff8800]Giảm nhẹ:[-][/c]Đi tắm (giảm RAD)\n[c][44ff00]Chữa lành bằng:[-][/c]Thuốc chống bức xạ, Tiêm chống bức xạ, Bộ khử nhiễm, Trạm y tế loại 4"
igmFoodPoisoning,[c][b][A8C900]FOOD POISONING[-][/b][/c]\nYou've eaten something you probably shouldn't have.\n[c][FFFFFF]Stomach Pills or a Detox Kit should fix the problem.[-][/c],,,,,,,,"[c][b][A8C900]ПИЩЕВОЕ ОТРАВЛЕНИЕ[-][/b][/c]\nВы съели то, чего вам, вероятно, не следовало есть.\n[c][FFFFFF]Таблетки для желудка или набор для детоксикации должны решить проблему.[-][/c]",,,"[c][ffffff]食物中毒[-][/c]\n[c][ff8800]緩解:[-][/c]  止痛藥\n[c][44ff00]以此治療:[-][/c]  外科醫療包, 醫療站1型, 醫療站 (HV), 醫療站 (BA,CV)",,,"[c][ffffff]ΤΡΟΦΙΚΗ ΔΗΛΗΤΗΡΙΑΣΗ[-][/c]\n[c][ff8800]Μετριασμός:[-][/c] Παυσίπονα\n[c][44ff00]Θεραπεία με:[-][/c ] Κουτί Πρώτων Βοηθειών, Ιατρικός Σταθμός Τύπου 1, Ιατρικός Σταθμός (HV), Ιατρικός Σταθμός (BA,CV)",,"[c][ffffff]NGỘ ĐỘC THỰC PHẨM[-][/c]\n[c][ff8800]Giảm nhẹ:[-][/c]Thuốc giảm đau\n[c][44ff00]Chữa lành bằng:[-][/c ]Bộ sơ cứu, Trạm y tế loại 1, Trạm y tế (HV), Trạm y tế (BA, CV)"
igmEffectBandages,[c][00FF00][b]BANDAGES APPLIED[/b][-][/c]\nYou have applied bandages to your injuries.\n[c][FFFFFF]Recovering 100 Health[-][/c],Bandagen angewendet,Vous avez appliqué des bandages.,Hai applicato una Fasciatura.,Has aplicado vendajes,,Você usous as Ataduras.,Zastosowałeś bandaże.,[c][00FF00][b]НАКЛАДЫВАЮТСЯ БАНДАЖИ[/b][-][/c]\nВы наложили повязки на раны.\n[c][FFFFFF]Восстановление 100 здоровья[-][/c],包帯を使用しました,你使用了绷带。,你使用了繃帶。,,,Έβαλες Επιδέσμους.,Je hebt een verband gebruikt,Bạn đã áp dụng Băng.
igmEffectMedikit01,You applied a Trauma Kit.,Trauma Kit angewendet,Vous avez appliqué un Kit Trauma.,Hai utilizzato un Kit Medico.,Has aplicado un Kit para Traumatismos.,,Você usou um Kit Trauma.,Zastosowałeś zestaw pourazowy.,Вы применили комплект для лечения травм.,外傷治療キットを使用しました,你使用了外科医疗包。,你使用了外科醫療包。,,,Έβαλες ένα Σετ Τραύματος.,Je hebt een trauma kit gebruikt,Bạn đã áp dụng một Bộ dụng cụ chấn thương.
imgEffectMedikit02,You applied a Detox Kit.,Detox Kit angewendet,Vous avez appliqué un Kit Détox.,Hai utilizzato un Kit Disintossicante.,Has aplicado un Kit de Desintoxicación.,,Você usou um Kit Detox.,Zastosowałeś zestaw do detoksykacji.,Вы применили набор для детоксикации.,解毒キットを使用しました,你使用了解毒医疗包。,你使用了解毒醫療包。,,,Έβαλες ένα Σετ Detox.,Je hebt een detox kit gebruikt,Bạn đã áp dụng Bộ giảm đau.
imgEffectMedikit03,You applied a Decontamination Kit.,Dekontaminations Kit angewendet,Vous avez appliqué un Kit Décontamination.,Hai utilizzato un Kit Decontaminazione.,Has aplicado un Kit de Descontaminación.,,Você usou um Kit de Descontaminação.,Zastosowałeś zestaw do dezynfekcji.,Вы применили комплект для дезактивации.,除染キットを使用しました,你使用了净化医疗包。,你使用了應急(消毒)醫療包。,,,Έβαλες ένα Σετ Απολύμανσης.,Je hebt een decontaminatie kit gebruikt,Bạn đã áp dụng Bộ khử nhiễm.
imgEffectMedikit04,You applied a Health Pack.,Du hast ein Gesundheitspaket angewendet.,Tu as appliqué un Pack Santé.,Hai utilizzato un Composto Medico.,Has aplicado un Botiquín.,,,,Вы применили пакет медицинского страхования.,ヘルスパックを使用しました.,,你使用了保健醫療包。,,,Έβαλες ένα Ιατρικό Πακέτο.,,Bạn đã áp dụng Gói sức khỏe.
igmEffectMedikitApplied,You applied a MediKit.,Du hast ein MediKit angewendet.,Tu as appliqué un MediKit.,Hai utilizzato un Kit Medico.,Has aplicado un Botiquín Médico.,,,,Вы применили MediKit.,メディキットを使用しました.,,你使用了醫療包。,,,Έβαλες ένα Ιατρικό Σετ.,,Bạn đã áp dụng gói y tế.
MedikitApplied,Health Recovering,Gesundheit erhöht,La santé augmente,Rigenerazione Salute,La salud aumenta,,,,Восстановление здоровья,ヘルスが増加,,生命回復中,,,Η ζωή αυξάνεται,,Tăng sức khỏe
RepairBayT2BA,Advanced Static Repair Bay,Reparaturplattform T2,Plateforme de réparation v2,Piattaforma di Riparazione L2,Plataforma de Reparación Nv.2,,Baia de Reparação T2,Platforma naprawcza T2,Расширенный отсек для статического ремонта,リペアベイT2,维修平台 T2,維修平台 T2,,,Σταθμός Επισκευής Τ2,Reparatie station T2,Gian sửa chữa T2
RepairBayConsole,Repair Console,Reparaturkonsole,Console de réparation,Terminale di Riparazione,Consola de Reparación,,Console de Reparação,Konsola naprawcza,Ремонтная консоль,リペアコンソール,维修控制面板,維修控制面板,,,Κονσόλα Επισκευής,Reparatie console,Bảng điều khiển sửa chữa
MushroomBellBrown01Stage1,Mushrooms (Sprout),Pilze - Keim,Pousse de Champignons,Funghi - Germoglio,Setas - Brote,,Cogumelo - Muda,Grzyby - pęd,Грибы (Росток),キノコの苗,蘑菇 - 嫩芽,蘑菇 - 嫩芽,,,Μανιτάρια - Σπόροι,Paddestoelen - Stekje,Nấm - Mầm
MushroomBellBrown01Stage2,Mushrooms (Growing),Pilze - Im Wachstumg,Champignons - en croissance,Funghi - In Crescita,Setas - Creciendo,,Cogumelo - Crescendo,Grzyby - rozwój,Грибы (Выращивание),キノコ:成長,蘑菇 - 幼体,蘑菇 - 幼體,,,Μανιτάρια - Μεγαλώνει,Paddestoelen - Groeiend,Nấm - Đang phát triển
MushroomBellBrown01Stage3,Mushrooms (Harvestable),Pilze - Erntereif,Champignons - récoltable,Funghi - Raccoglibile,Setas - Cosechable,,Cogumelo - Maduro,Grzyby - dojrzałe,Грибы (Сбор урожая),キノコ:成熟,蘑菇 - 可收获,蘑菇 - 可收穫,,,Μανιτάρια - Συγκομιδή,Paddestoelen - Oogstbaar,Nấm - Có thể thu hoạch
CobraLeavesPlantStage1,Spice (Sprout),Gewürz - Setzling,Pousse de Feuilles de Cobra,Spezia - Germoglio,Especias - Brote,,Tempero - Muda,Przyprawy - pęd,Специя (Росток),スパイスの苗,香料 - 嫩芽,香料 - 嫩芽,,,Μπαχαρικό - Σπόροι,Specerijen - Stekje,Spice - Mầm
CobraLeavesPlantStage2,Spice (Growing),Gewürz - Im Wachstum,Feuilles de Cobra - en croissance,Spezia - In Crescita,Especias - Creciendo,,Tempero - Crescendo,Przyprawy - rozwój,Специя (растущая),スパイス:成長,香料 - 幼体,香料 - 幼體,,,Μπαχαρικό - Μεγαλώνει,Specerijen - Groeiend,Spice - Đang phát triển
CobraLeavesPlantStage3,Spice (Harvestable),Gewürz - Erntereif,Feuilles de Cobra - récoltable,Spezia - Raccoglibile,Especias - Cosechable,,Tempero - Maduro,Przyprawy - dojrzałe,Специя (собираемый урожай),スパイス:成熟,香料 - 可收获,香料 - 可收穫,,,Μπαχαρικό - Συγκομιδή,Specerijen - Oogstbaar,Spice - Có thể thu hoạch
SolarPanelSmallBlocks,Small Solar Panels,Kleine Solarpanele,Panneaux solaires (petits),Pannelli Solari (Piccoli),Paneles Solares (Pequeños),,Painel Solar (Pequeno),Panele słoneczne (małe),Маленькие солнечные панели,ソーラーパネル (小型),太阳能板 (小),太陽能板 (小),,,Ηλικιακό Πάνελ (Μικρό),Zonnepanelen (klein),Pin Năng Lượng Mặt Trời (Nhỏ)
SurvivalTent01,Survival Tent,Notfallzelt,Tente de survie,Tenda di Sopravvivenza,Tienda de Supervivencia,,Barraca de Sobrevivência,Namiot,Палатка выживания,サバイバルテント,求生帐篷,求生帳篷,,,Σκηνή Επιβίωσης,Overlevingstent,Lều sinh tồn
SurvivalTent02,Survival Tent (Woodland Camo),Notfallzelt (Waldtarn),Tente de survie (camouflage),Tenda di Sopravvivenza (Mimetica Boschiva),Tienda de Supervivencia (Camuflaje Bosque),,Barraca de Sobrevivência (Camufl. de Floresta),Namiot (leśne moro),Палатка выживания (лесной камуфляж),サバイバルテント(森林仕様),求生帐篷 (丛林迷彩),求生帳篷 (叢林迷彩),,,Σκηνή Επιβίωσης (Παραλλαγή Δάσους),Overlevingstent (Bos camouflage),Lều sinh tồn (màu nguỵ trang trong rừng)
SurvivalTent03,Survival Tent (Desert Camo),Notfallzelt (Wüstentarn),Tente de survie (désert),Tenda di Sopravvivenza (Mimetica Desertica),Tienda de Supervivencia (Camuflaje Desierto),,Barraca de Sobrevivência (Camufl. de Deserto),Namiot (pustynne moro),Палатка выживания (пустынный камуфляж),サバイバルテント(砂漠仕様),求生帐篷 (沙漠迷彩),求生帳篷 (沙漠迷彩),,,Σκηνή Επιβίωσης (Παραλλαγή Ερήμου),Overlevingstent (Woestijn camouflage),Lều sinh tồn (màu nguỵ trang sa mạc)
ConstructorSurvivalV2,Portable Constructor,Portabler Konstruktor,Constructeur portable,Costruttore Portatile,Constructor Portatil,,Construtor Portátil,Przenośny Konstruktor (T2),Портативный конструктор,携帯コンストラクタ,便携式建造机,生存建造機,,,Φορητός Κατασκευαστής,Draagbare constructeur,Máy chế tạo cầm tay
ConstructorSurvival,Portable Constructor,Portabler Konstruktor,Constructeur portable,Costruttore Portatile,Constructor Portatil,,Construtor Portátil,Przenośny Konstruktor,Портативный конструктор,携帯コンストラクタ,便携式建造机,生存建造機,,,Φορητός Κατασκευαστής,Draagbare constructeur,Máy chế tạo cầm tay
btnSuitConstructor,Suit Constructor,Überlebens​konstruktor,Constructeur de survie,Costruttore di Sopravvivenza,Constructor de Supervivencia,,Construtor de Sobrevivência,Podręczny Konstruktor,Конструктор костюмов,サバイバルコンストラクタ,生存建造机,生存建造機,,,Κατασκευαστής Επιβίωσης,Overlevings constructeur,Cơ cấu tạo tồn tại
igmFreezing,[c][00BBFF][b]FREEZING[/b][-][/c]\nBody temperature is too cold to maintain homeostasis.\n[c][FFFFFF]Find somewhere warmer immediately before conditions deteriorate further[-][/c],,,,,,,,"[c][00BBFF][b]ЗАМОРАЖИВАНИЕ[/b][-][/c]\nТемпература тела слишком низкая для поддержания гомеостаза.\n[c][FFFFFF]Найдите место потеплее, прежде чем погода еще больше ухудшится.[-][/c]",,,[c][ffffff]失溫[-][/c]\n[c][ff8800]緩解:[-][/c]  -\n[c][44ff00]以此治療:[-][/c]  食用食物或使用設備讓溫度上升; 進入一個運作中的基地或飛船; 使用浴室或是用床睡覺; 站在攜帶式恆溫器旁邊 (可放置在地形上物件,,,[c][ffffff]ΥΠΟΘΕΡΜΙΑ[-][/c]\n[c][ff8800]Μετριασμός:[-][/c] -\n[c][44ff00]Θεραπεία με:[-][/c] Αύξηση θερμοκρασίας ανά συσκευή ή τρόφιμο. μπείτε μέσα σε μια ενεργή βάση ή σκάφος. ΚάνΕ ένα ντους ή κοιμήσου. Στάσου δίπλα σε φορητό θερμαντήρα/ψύκτη (συσκευή με δυνατότητα τοποθέτησης εδάφους),,[c][ffffff]HẠ THÂN NHIỆT[-][/c]\n[c][ff8800]Giảm nhẹ:[-][/c]-\n[c][44ff00]Chữa lành bằng:[-][/c]Tăng nhiệt độ theo thiết bị hoặc mặt hàng thực phẩm; vào bên trong một căn cứ hoặc tàu đang hoạt động; Đi tắm hoặc ngủ; Đứng cạnh Máy sưởi /Máy làm mát di động (thiết bị có thể đặt ở địa hình)
Hypothermia,Hypothermia,Hypothermie,Hypothermie,Ipotermia,Hipotermia,,Hipotermia,Hipotermia,Гипотермия,低体温症,体温过低,失溫,,,Υποθερμία,Onderkoeling,Hạ thân nhiệt
Freezing,Freezing,Erfrieren,Gel,Congelamento,Congelación,,Congelando,Zamarzasz,Замораживание,凍結,冻僵,凍僵,,,Πάγωμα,Bevriezend,Đóng băng
igmEffectHypothermia,[c][0088FF][b]HYPOTHERMIA[/b][-][/c]\nYou're suffering the effects of Hypothermia. Internal thermoregulation is beginning to fail and you are in danger unless you can increase your body temperature immediately.,[c][ffffff]Hypothermie[-][/c]\n[c][ff8800]Abschwächen:[-][/c] -\n[c][44ff00]Heilen mit:[-][/c] Temperaturanstieg durch Gerät oder Nahrungsmittel; in eine aktive Basis oder ein aktives Gefäß gehen; duschen oder schlafen; neben tragbarem Heizgerät/Kühler stehen (im Gelände platzierbares Gerät),[c][ffffff]Hypothermie[-][/c]\n[c][ff8800]Atténuer :[-][/c] -\n[c][44ff00]Soigner avec :[-][/c] Augmenter la température avec un appareil ou un aliment ; rentre dans une base ou un vaisseau actif ; Prends une douche ou dors ; Mets-toi à côté d'un réchauffeur/refroidisseur portable (dispositif pouvant être placé sur le terrain),[c][ffffff]Ipotermia[-][/c]\n[c][ff8800]Attenuazione:[-][/c]  -\n[c][44ff00]Cura:[-][/c]  Riscaldati con un dispositivo o un consumabile; Trova riparo all'interno di una struttura attiva; Doccia o Riposo; Utilizza uno Stabilizzatore di Temperatura (dispositivo posizionabile),[c][ffffff]Hipotermia[-][/c]-[c][ff8800]Mitigar:[-][/c] -[c][44ff00]Curar con:[-][/c] Aumentar la temperatura con un dispositivo o un objeto de comida; entrar en una base o recipiente activo; ducharse o dormir; situarse junto a un calentador/enfriador portátil (dispositivo colocable en el terreno),,,,"[c][0088FF][b]ГИПОТЕРМИЯ[/b][-][/c]\nВы страдаете от последствий переохлаждения. Внутренняя терморегуляция начинает давать сбой, и вы в опасности, если не сможете немедленно повысить температуру тела.","[c][00ffff]凍結[-][/c]\n[c][ff8800]軽減: [-][/c]   -\n[c][44ff00]治療: [-][/c]  機器や食品で温度を上げる, 活動中の基地や船に入る, シャワーを浴びる, 寝る, 簡易冷暖機器の横に立つ(地上に配置する機器).",,[c][ffffff]凍僵[-][/c]\n[c][ff8800]緩解:[-][/c]  -\n[c][44ff00]以此治療:[-][/c]  食用食物或使用設備讓溫度上升; 進入一個運作中的基地或飛船; 使用浴室或是用床睡覺; 站在攜帶式恆溫器旁邊 (可放置在地形上物件),,,[c][ffffff]ΞΕΠΑΓΙΑΖΕΙΣ[-][/c]\n[c][ff8800]Μετριασμός:[-][/c] -\n[c][44ff00]Θεραπεία με:[-][/c] Αύξηση θερμοκρασίας ανά συσκευή ή τρόφιμο. μπείτε μέσα σε μια ενεργή βάση ή σκάφος. Κάνε ένα ντους ή κοιμήσου. Στάσου δίπλα σε φορητό θερμαντήρα/ψύκτη (συσκευή με δυνατότητα τοποθέτησης εδάφους),,[c][ffffff]ĐÓNG BĂNG[-][/c]\n[c][ff8800]Giảm nhẹ:[-][/c]-\n[c][44ff00]Chữa lành bằng:[-][/c]Tăng nhiệt độ theo thiết bị hoặc mặt hàng thực phẩm; vào bên trong một căn cứ hoặc tàu đang hoạt động; Đi tắm hoặc ngủ; Đứng cạnh Máy sưởi /Máy làm mát di động (thiết bị có thể đặt ở địa hình)
MedicalSupport,[c][FF5555][b]Medical Support[/b][-][/c],,,,,,,,[c][FF5555][b]Медицинская поддержка[/b][-][/c],,,,,,,,
MedicalTreatment,[c][702DFF][b]Medical Treatment[/b][-][/c],,,,,,,,[c][702DFF][b]Медицинское лечение[/b][-][/c],,,,,,,,
igmEffectHealing,[c][FF5555][b]HEALING[/b][-][/c]\n[c][FFFFFF]An ally is treating your wounds[-][/c],,,,,,,,[c][FF5555][b]ВЫЗДОРОВЛЕНИЕ[/b][-][/c]\n[c][FFFFFF]Союзник лечит ваши раны[-][/c],,,,,,,,
igmEffectTreatment,[c][702DFF][b]TREATMENT[/b][-][/c]\n[c][FFFFFF]An ally is applying medical treatment for several common ailments[-][/c],,,,,,,,[c][702DFF][b]УХОД[/b][-][/c]\n[c][FFFFFF]Союзник лечится от нескольких распространенных заболеваний.[-][/c],,,,,,,,
ttwSuitConstructor,Suit Constructor,Überlebens-Konstrukteur,Constructeur de survie,Costruttore di Sopravvivenza,Constructor de supervivencia,,,,Конструктор костюмов,サバイバルコンストラクタ,,生存建造機,,,Κατασκευαστής Επιβίωσης,,Máy chế tạo sinh tồn
igmEffectIncreaseRadiation,[c][FF00FF][b]Ionizing Radiation Detected![/b][-][/c]\nInitiate Decontamination Protocol immediately!,Strahlungslevel steigt!,Radiations en augmentation !,Radiazioni in Aumento!,¡Radiación aumentando!,,Radiação Aumentando!,Zwiększa się poziom promieniowania!,[c][FF00FF][b]Обнаружено ионизирующее излучение![/b][-][/c]\nНемедленно начните протокол дезактивации!,放射線が増加!,辐射增强中！,輻射增強中！,,,Η ραδιενέργεια αυξάνεται!,,Bức xạ ngày càng tăng!
rdlDeconstructTxt,Salvaging own and public structures. Will always return components.,Zerlegt eigene und öffentliche Strukturen. Es werden immer Komponenten zurück gegeben.,Désassemble les structures publiques et privées. Restitue toujours des composants.,Smonta blocchi di strutture proprie e pubbliche. Restituisce sempre i componenti.,Desmontar estructuras propias y públicas. Siempre devolverá los componentes.,,Desconstruir estruturas próprias e públicas. Sempre retornará os componentes.,Dekonstrukcja struktur własnych i publicznych. Zawsze zwraca składniki.,Спасение собственных и государственных структур. Всегда будет возвращать компоненты.,"自分の所有する構造物, 又は所有者のいない構造物を破壊又は対象を構成していた物質を手に入れられる",拆解自己或公共建筑，总是会得到零件。,拆毀自身與公共建築。始終會返還組件。,,,Διάσωση δικών σου και δημόσιων κατασκευών. Θα επιστρέφει πάντα τα εξαρτήματα.,Bergen van eigen en openbare bouwwerken. Zal altijd componenten teruggeven,Tận dụng các cấu trúc riêng và công cộng. Sẽ luôn trả về các thành phần.
FridgeMS,Fridge,Kühlschrank 1,Frigo,Frigo 1,Frigorífico 1,Frigorífico (T1),Geladeira 1,Lodówka (T1),Холодильник,冷蔵庫Ⅰ,冰箱1,冰箱（T1）,냉장고(T1),,Ψυγείο 1,Koelkast 1,Tủ lạnh 1
FridgeMS02,Large Fridge,Kühlschrank 2,gros frigo,Frigo 2,Frigorífico 2,Frigorífico (T2),Geladeira 2,Lodówka (T2),Большой Холодильник,冷蔵庫Ⅱ,冰箱2,冰箱（T2）,냉장고(T2),,Ψυγείο 2,Koelkast 2,Tủ lạnh 2
Freezer,Freezer,Kühlschrank 3,Armoire réfrigérée,Frigo 3,Frigorífico 3,Caixa Grande 3,,Lodówka,Морозильник,冷蔵庫Ⅲ,,大箱子3,박스 대 3,,Ψυγείο 3,Koelkast 3,Tủ lạnh 3
FridgeBlocks,Fridges,Kühlschränke,Frigos,Frigoriferi,Frigoríficos,,Geladeiras,Lodówka (grupa),Холодильники,冷蔵庫,冰箱方块组,冰箱方塊組,,,Ψυγεία,Koelkast blokken,Tủ lạnh
DrillAttachmentCV,Laser Drill Module (CV),Bohrer - Laser,Foreuse laser,Modulo di Scavo - Laser,Módulo de Perforación - Láser,,Módulo de Broca - Laser,Moduł wiertniczy - laser,Модуль лазерной дрели (CV),採掘モジュール - Laser,钻机模块-激光,鑽機模塊-鐳射,,,Μονάδα Τρυπανιού - Λέιζερ,Boor module - Laser,Mô-đun khoan - Laser
DrillAttachmentCVWeapon,Laser Drill,Bohrer - Laser,Foreuse laser,Modulo di Scavo - Laser,Módulo de Perforación - Láser,,Módulo de Broca - Laser,Moduł wiertniczy - laser,Лазерная дрель,採掘モジュール - Laser,钻机模块-激光,鑽機模塊-鐳射,,,Μονάδα Τρυπανιού - Λέιζερ,Boor module - Laser,Mô-đun khoan - Laser
ConstructorSV,Mobile Constructor (SV),Mobiler Konstruktor,Constructeur mobile,Costruttore Mobile (V),Constructor móvil (NP),,Construtor Portátil (NP),Mały Konstruktor,Мобильный Конструктор (СВ),モバイルコンストラクタ(SV),移动建造机 (小飞船),移動式建造機(SV),,,Φορητός Κατασκευαστής (SV),Mobiele constructeur (SV),Máy chế tạo di động (SV)
ConstructorSmallV2,Universal Constructor,Mobiler Konstruktor,Constructeur mobile,Costruttore Mobile,Constructor móvil,,Construtor Portátil,,Универсальный конструктор,モバイルコンストラクタ,移动建造机,移動式建造機,,,Φορητός Κατασκευαστής,Mobiele constructeur,Máy chế tạo di động
ThrusterJetRound2x5x2V2,Medium Ion Jet Booster,Schubdüse Jet II M (2x5x2),Propulseur Jet II M (2x5x2),Propulsore Jet II M (2x5x2),Propulsor a reacción II (M)(2x5x2),,Propulsor a Jato II M (2x5x2),Silnik odrzutowy II M (2x5x2),Средний ионный реактивный ускоритель,スラスタジェットII M(2x5x2),喷气推进器 II M (2x5x2),噴氣推進器 II M (2x5x2),,,Ωθητήρας Jet II M (2x5x2),Thruster Jet II M (2x5x2),Động cơ phản lực II M (2x5x2)
ThrusterJetRound3x10x3V2,Improved Large Ion Jet Booster,Schubdüse Jet II XL (3x10x3),Propulseur Jet II XL (3x10x3),Propulsore Jet II XL (3x10x3),Propulsor a reacción II (XL)(3x10x3),,Propulsor a Jato II XL (3x10x3),Silnik odrzutowy II XL (3x10x3),Улучшенный ускоритель большой ионной струи,スラスタジェットII XL(3x10x3),喷气推进器 II XL (3x10x3),噴氣推進器 II XL (3x10x3),,,Ωθητήρας Jet II XL (3x10x3),Thruster Jet II XL (3x10x3),Động cơ phản lực II XL (3x10x3)
ThrusterJetRound3x13x3V2,Advanced Large Ion Jet Booster,Schubdüse Jet II XXL (3x13x3),Propulseur Jet II XXL (3x13x3),Propulsore Jet II XXL (3x13x3),Propulsor a reacción II (XXL)(3x13x3),,Propulsor a Jato II XXL (3x13x3),,Усовершенствованный большой ионный реактивный ускоритель,スラスタジェットII XXL(3x13x3),喷气推进器 II XXL (3x13x3),噴氣推進器 II XXL (3x13x3),,,Ωθητήρας Jet II XXL (3x13x3),Thruster Jet II XXL (3x13x3),Động cơ phản lực II XXL (3x13x3)
rtbDockedShipsNotAllowed,Repair stopped. Please remove docked ships from repair target,Reparatur gestoppt. Bitte angedockte Schiffe vom Reparaturziel entfernen.,Réparation stoppée. Retirer le vaisseau de la zone de réparation,Riparazione interrotta. Rimuovi le navi attraccate sul bersaglio da riparare,"Reparación detenida. Por favor, retira las naves atracadas del objetivo de reparación",,"A reparação parou. Por favor, remova as naves ancoradas na nave a ser reparada",Naprawa zatrzymana. Usuń zadokowany statek z platformy,"Ремонт остановлен. Пожалуйста, удалите пристыкованные корабли из ремонтной цели.",修理完了!接続中の船を移動させてください,维修暂停，请先移走维修目标上停靠的飞船。,維修暫停，請先移走維修目標上停靠的飛船。,,,Η Επισκευή σταμάτησε. Παρακαλώ αφαίρεσε τα σκάφη από τον στόχο επισκευής,Reparatie gestopt. Verwijder gekoppelde schepen van reparatiedoel,Đã dừng sửa chữa. Vui lòng loại bỏ các tàu đã neo đậu vào mục tiêu sửa chữa
RepairBayBAT2,Advanced Static Repair Bay,Reparaturplattform (T2),Plateforme de réparation v2,Piattaforma di Riparazione (L2),Plataforma de Reparación (Nv.2),,Baía de reparos (T2),Platforma naprawcza (T2),Расширенный отсек для статического ремонта,リペアベイ(BA.T2),维修平台 (T2),維修平台 (T2),,,Σταθμός Επισκευής (Τ2),Reparatiestation (T2),Khoang sửa chữa (T2)
RepairBayCVT2,Advanced Mobile Repair Bay,Reparaturplattform (T2),Plateforme de réparation v2,Piattaforma di Riparazione (L2),Plataforma de Reparación (Nv.2),,Baía de reparos (T2),Platforma naprawcza (T2),Расширенный мобильный ремонтный отсек,リペアベイ(CV.T2),维修平台 (T2),維修平台 (T2),,,Σταθμός Επισκευής (Τ2),Reparatiestation (T2),Khoang sửa chữa (T2)
CaptainChair01,Captain's Chair,Sitz des Kapitäns,Siège Capitaine,Sedia del Capitano,Silla del Capitán,,Cadeira do Capitão,Krzesło kapitana,Капитанское кресло,キャプテンチェア,舰长座椅,艦長座椅,,,Καρέκλα Καπετάνιου,Kapiteinsstoel,Ghế thuyền trưởng
